epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.1788,1.15926,8.04045,0.00429,0.00176,0.52941,0.34334,0.16921,1.0579,8.0706,0.0046,0.00036,0.00036,0.00036
2,12.8351,1.05248,6.32654,0.00396,0.00065,0.19608,0.00373,0.00256,0.67604,7.94216,0.00311,0.000735116,0.000735116,0.000735116
3,16.8416,0.98355,5.47031,0.00381,0.00294,0.88235,0.43265,0.31611,0.80412,7.35061,0.00356,0.00110522,0.00110522,0.00110522
4,20.8279,1.03742,4.40424,0.00389,1,0.23449,0.8703,0.68118,0.92252,6.07063,0.00454,0.0014703,0.0014703,0.0014703
5,24.8412,0.9996,3.42529,0.00346,0.92099,0.68572,0.89803,0.70316,1.0002,4.2692,0.0047,0.00183037,0.00183037,0.00183037
6,28.6406,1.06505,3.02854,0.00392,0.90427,0.70588,0.92457,0.72054,0.92554,2.54333,0.00459,0.001934,0.001934,0.001934
7,32.4853,1.07654,2.62143,0.00421,0.89507,0.86275,0.9578,0.76665,0.83381,1.59868,0.00377,0.0019208,0.0019208,0.0019208
8,36.2698,0.98348,2.24318,0.00394,0.85291,0.79598,0.92297,0.67382,1.0598,1.50995,0.00516,0.0019076,0.0019076,0.0019076
9,40.2311,0.99755,1.89837,0.00408,0.91297,0.92157,0.97442,0.75377,0.84103,0.88737,0.00407,0.0018944,0.0018944,0.0018944
10,44.1705,0.89271,1.59217,0.00337,0.91075,0.8004,0.93867,0.80448,0.70831,0.60824,0.00305,0.0018812,0.0018812,0.0018812
11,48.0119,0.92521,1.33033,0.00332,0.90415,0.92488,0.9727,0.75414,0.94222,0.57303,0.00468,0.001868,0.001868,0.001868
12,51.8258,0.89516,1.26664,0.00324,0.88499,0.86275,0.95051,0.80344,0.79742,0.5604,0.00375,0.0018548,0.0018548,0.0018548
13,55.7812,0.95955,1.10594,0.00357,1,0.85287,0.97171,0.79412,0.91313,0.45354,0.00421,0.0018416,0.0018416,0.0018416
14,59.6638,0.83883,0.97242,0.00318,0.95994,0.93978,0.98573,0.78297,0.81254,0.50956,0.00392,0.0018284,0.0018284,0.0018284
15,63.4395,0.82843,0.91238,0.00326,0.92027,0.92157,0.97998,0.76724,0.82391,0.55656,0.00394,0.0018152,0.0018152,0.0018152
16,67.2503,0.92172,0.88925,0.00335,0.88984,0.95044,0.97868,0.81344,0.77341,0.46252,0.00327,0.001802,0.001802,0.001802
17,71.0909,0.85292,0.81536,0.00325,0.97853,0.8939,0.98282,0.83346,0.8344,0.41412,0.00379,0.0017888,0.0017888,0.0017888
18,74.9178,0.85089,0.71944,0.0031,0.9423,0.96068,0.98742,0.83242,0.72712,0.39419,0.00338,0.0017756,0.0017756,0.0017756
19,78.7922,0.86159,0.70503,0.00347,0.98157,0.92157,0.99112,0.81883,0.93833,0.45231,0.00398,0.0017624,0.0017624,0.0017624
20,82.5968,0.86027,0.65373,0.00327,0.96688,0.96078,0.99254,0.85087,0.75309,0.48857,0.00339,0.0017492,0.0017492,0.0017492
21,86.4788,0.84024,0.63885,0.0032,0.96307,0.92157,0.98731,0.8253,0.7049,0.38066,0.00326,0.001736,0.001736,0.001736
22,90.3924,0.88212,0.63256,0.00355,0.9526,0.94118,0.98609,0.84641,0.7282,0.34821,0.00314,0.0017228,0.0017228,0.0017228
23,94.2552,0.84256,0.54545,0.00298,0.97111,0.98039,0.99288,0.8648,0.66829,0.28593,0.00281,0.0017096,0.0017096,0.0017096
24,98.043,0.79539,0.5782,0.00305,0.95857,0.90744,0.98035,0.80619,0.90442,0.38423,0.00447,0.0016964,0.0016964,0.0016964
25,101.944,0.78543,0.5301,0.00293,0.93021,0.94118,0.98538,0.87219,0.68252,0.34951,0.00288,0.0016832,0.0016832,0.0016832
26,105.815,0.77014,0.53559,0.00287,0.99605,0.92157,0.98693,0.85216,0.64464,0.35698,0.00287,0.00167,0.00167,0.00167
27,109.688,0.82431,0.52372,0.00314,0.97743,0.96078,0.99368,0.83533,0.82067,0.30435,0.00391,0.0016568,0.0016568,0.0016568
28,113.581,0.79358,0.50441,0.00289,0.94249,0.96412,0.99097,0.86943,0.63962,0.28524,0.0027,0.0016436,0.0016436,0.0016436
29,117.342,0.75233,0.47662,0.00285,0.96392,0.98039,0.99222,0.82272,0.82758,0.30753,0.00363,0.0016304,0.0016304,0.0016304
30,121.313,0.76355,0.43258,0.00275,0.94028,0.90196,0.98431,0.80535,0.80735,0.34441,0.00338,0.0016172,0.0016172,0.0016172
31,125.202,0.80283,0.4377,0.00305,0.90794,0.98039,0.98909,0.83671,0.6878,0.45172,0.00286,0.001604,0.001604,0.001604
32,129.049,0.7971,0.45953,0.003,0.94196,1,0.98805,0.84879,0.67821,0.29628,0.00308,0.0015908,0.0015908,0.0015908
33,132.879,0.76991,0.41189,0.00297,0.97079,0.92157,0.98567,0.86613,0.6776,0.26094,0.0028,0.0015776,0.0015776,0.0015776
34,136.837,0.70744,0.43453,0.0025,0.91921,0.98039,0.9892,0.86307,0.74445,0.27508,0.00308,0.0015644,0.0015644,0.0015644
35,140.64,0.73473,0.40592,0.00273,0.94422,0.99582,0.99173,0.83176,0.79633,0.26937,0.00348,0.0015512,0.0015512,0.0015512
36,144.537,0.76777,0.41869,0.00291,0.99673,0.92157,0.98914,0.81044,0.93308,0.32925,0.00387,0.001538,0.001538,0.001538
37,148.352,0.76557,0.39464,0.00297,1,0.95773,0.99232,0.87092,0.63781,0.24159,0.00271,0.0015248,0.0015248,0.0015248
38,152.247,0.73794,0.43505,0.00264,0.96975,0.96078,0.99127,0.84896,0.70731,0.3167,0.00339,0.0015116,0.0015116,0.0015116
39,156.009,0.73446,0.41011,0.0027,0.94304,0.97389,0.99104,0.86126,0.61206,0.30276,0.00271,0.0014984,0.0014984,0.0014984
40,159.834,0.75723,0.40176,0.00294,0.9441,0.99362,0.98817,0.86809,0.61544,0.2798,0.00256,0.0014852,0.0014852,0.0014852
41,163.79,0.67144,0.35757,0.0025,0.95567,1,0.99067,0.87169,0.65703,0.24809,0.00267,0.001472,0.001472,0.001472
42,167.675,0.76006,0.40557,0.00276,0.93599,1,0.99253,0.83866,0.69395,0.27423,0.00292,0.0014588,0.0014588,0.0014588
43,171.476,0.70414,0.37935,0.00262,0.97945,0.98039,0.99462,0.87407,0.62487,0.26928,0.00258,0.0014456,0.0014456,0.0014456
44,175.295,0.72266,0.38805,0.00264,0.97834,0.98039,0.99262,0.87732,0.64595,0.2525,0.0026,0.0014324,0.0014324,0.0014324
45,179.163,0.70413,0.37695,0.00265,0.97716,0.96078,0.98962,0.85195,0.71915,0.26119,0.00309,0.0014192,0.0014192,0.0014192
46,183.057,0.70044,0.40108,0.00265,0.94461,1,0.99227,0.8441,0.68838,0.23419,0.00299,0.001406,0.001406,0.001406
47,186.973,0.7612,0.4125,0.00296,0.97568,0.96078,0.9906,0.86518,0.66688,0.29953,0.00296,0.0013928,0.0013928,0.0013928
48,190.763,0.70318,0.38017,0.00245,1,0.97868,0.99395,0.85793,0.77764,0.24984,0.00352,0.0013796,0.0013796,0.0013796
49,194.741,0.69191,0.36137,0.00271,0.94966,0.98039,0.9925,0.88253,0.65633,0.27554,0.00281,0.0013664,0.0013664,0.0013664
50,198.66,0.70294,0.33151,0.00255,1,0.92006,0.99034,0.84235,0.69305,0.27325,0.00293,0.0013532,0.0013532,0.0013532
51,202.495,0.74959,0.35742,0.0026,0.99362,0.98039,0.99481,0.86072,0.67268,0.25962,0.0029,0.00134,0.00134,0.00134
52,206.358,0.67431,0.36666,0.00249,0.97694,0.94118,0.99067,0.84572,0.80425,0.4127,0.00345,0.0013268,0.0013268,0.0013268
53,210.144,0.66512,0.32171,0.00249,0.97906,0.91681,0.988,0.88528,0.63648,0.39429,0.00268,0.0013136,0.0013136,0.0013136
54,214.206,0.7154,0.34249,0.00275,1,0.93872,0.99016,0.8986,0.66492,0.23846,0.00264,0.0013004,0.0013004,0.0013004
55,218.136,0.65679,0.34704,0.00256,0.96212,0.99611,0.99267,0.89359,0.6564,0.34204,0.00262,0.0012872,0.0012872,0.0012872
56,221.903,0.6741,0.33853,0.00259,0.97534,0.98039,0.99366,0.87996,0.67068,0.21791,0.00267,0.001274,0.001274,0.001274
57,225.679,0.68086,0.33091,0.00256,0.99772,1,0.995,0.87112,0.69394,0.24465,0.00288,0.0012608,0.0012608,0.0012608
58,229.64,0.68696,0.32505,0.00239,0.97995,0.98039,0.99405,0.84906,0.71362,0.26215,0.00296,0.0012476,0.0012476,0.0012476
59,233.476,0.68698,0.31371,0.00249,1,0.96032,0.99314,0.87638,0.54742,0.22954,0.00243,0.0012344,0.0012344,0.0012344
60,237.266,0.64475,0.30479,0.0023,0.95255,0.98039,0.99291,0.86435,0.60386,0.27277,0.00255,0.0012212,0.0012212,0.0012212
61,241.132,0.67103,0.31471,0.00253,0.98075,0.99901,0.99442,0.85594,0.70112,0.28484,0.00325,0.001208,0.001208,0.001208
62,244.996,0.66895,0.36931,0.0023,0.95639,0.98039,0.99233,0.875,0.64682,0.23029,0.0027,0.0011948,0.0011948,0.0011948
63,248.861,0.67267,0.34537,0.00262,0.93888,1,0.99092,0.86712,0.6624,0.24865,0.00273,0.0011816,0.0011816,0.0011816
64,252.707,0.68422,0.32161,0.00269,0.99664,0.98039,0.99427,0.84901,0.76632,0.27971,0.00331,0.0011684,0.0011684,0.0011684
65,256.548,0.65698,0.31153,0.00254,0.97961,0.9419,0.99202,0.87877,0.57954,0.29384,0.00232,0.0011552,0.0011552,0.0011552
66,260.344,0.63132,0.32319,0.00227,1,0.93109,0.99168,0.88097,0.5723,0.31445,0.00245,0.001142,0.001142,0.001142
67,264.302,0.61286,0.27898,0.00226,0.99587,0.96078,0.99318,0.86511,0.73808,0.3026,0.00302,0.0011288,0.0011288,0.0011288
68,268.041,0.61249,0.29609,0.00219,0.94899,0.96078,0.98984,0.86214,0.72564,0.37997,0.003,0.0011156,0.0011156,0.0011156
69,271.82,0.61259,0.28553,0.00224,0.94609,0.96078,0.98881,0.86862,0.65406,0.38562,0.00258,0.0011024,0.0011024,0.0011024
70,275.605,0.61923,0.28152,0.00223,0.95639,1,0.99028,0.87223,0.58306,0.29991,0.0025,0.0010892,0.0010892,0.0010892
71,279.516,0.66278,0.29176,0.00257,0.9776,1,0.99404,0.8577,0.64529,0.29175,0.0028,0.001076,0.001076,0.001076
72,283.28,0.6513,0.30955,0.00228,0.97428,0.96078,0.99218,0.85929,0.57774,0.26559,0.00246,0.0010628,0.0010628,0.0010628
73,287.14,0.66043,0.3049,0.00226,0.97958,1,0.99481,0.88378,0.5824,0.18456,0.00247,0.0010496,0.0010496,0.0010496
74,291.094,0.60054,0.29326,0.00216,0.99607,1,0.995,0.88527,0.61144,0.20346,0.00251,0.0010364,0.0010364,0.0010364
